차종,cat,result
현대코나,전기차,0
기아니로,전기차,0
한국GM볼트,전기차,0
르노삼성ZOE,전기차,0
테슬라Model 3,전기차,0
현대 넥쏘,전기차,0
푸조 E-2008,전기차,0
벤츠EQC,전기차,0
아우디E-트론,전기차,0
재규어 I-PACE,전기차,0
기아 쏘울,전기차,0
현대 아이오닉,전기차,0
BMW i3,전기차,0
토요타 프리우스,PHEV,23
기아 니로,PHEV,26
xDrive 45e,PHEV,43
E300e,PHEV,49
XC60,PHEV,67
현대아이오닉,HEV,69
포드익스플로러,PHEV,70
포르쉐피나메라4E,PHEV,73
아반떼,HEV,74
혼다 어코드,HEV,82
기아K5,HEV,83
현대그랜져,HEV,97
링컨MKZ,HEV,97
르노삼성QM3,디젤/가솔린,106
현대 아반떼,디젤/가솔린,106
한국GM스파크,디젤/가솔린,108
미니쿠퍼,디젤/가솔린,109
아테온,디젤/가솔린,125
티볼리,디젤/가솔린,130
E220d,디젤/가솔린,134
3008i,디젤/가솔린,135
코란도,디젤/가솔린,143
QM6,디젤/가솔린,150
그랜저,디젤/가솔린,150
520i,디젤/가솔린,153
디스커버리,디젤/가솔린,159
지프 레니게이드,디젤/가솔린,164
펠리세이드,디젤/가솔린,167
A5,디젤/가솔린,169
XC90,디젤/가솔린,176
GLC300,디젤/가솔린,180
익스플로러,디젤/가솔린,189
지프 랭글러,디젤/가솔린,193
트래버스,디젤/가솔린,211
콰트로 포르테,디젤/가솔린,226
카이엔,디젤/가솔린,234
에스컬레이드,디젤/가솔린,259
